column_name,python_dtype,description
VendorID,float,"A code indicatingtheTPEP provider that provided the record. 1= Creative Mobile Technologies, LLC; 2= VeriFone Inc"
tpep_pickup_datetime,datetime64[ns],The date and time when the meter was engaged. 
tpep_dropoff_datetime,datetime64[ns],The date and time when the meter was disengaged. 
Passenger_count,float,The number of passengers in the vehicle. This is a driver-entered value.
Trip_distance,float,The elapsed trip distance in miles reported by the taximeter.
PULocationID,str,TLC Taxi Zone in which the taximeter was engaged
DOLocationID,str,TLC Taxi Zone in which the taximeter was disengaged
RateCodeID,float,The final rate code in effect at the end of the trip.1= Standard rate2=JFK3=Newark4=Nassau or Westchester5=Negotiated fare6=Group ride
Store_and_fwd_flag,str,"This flag indicates whether the trip record was held in vehicle memory before sending to the vendor, aka “store and forward,” because the vehicle did not have a connection to the server.Y= store and forward tripN= not a store and forward trip"
Payment_type,float,A numeric code signifying how the passenger paid for the trip. 1= Credit card2= Cash3= No charge4= Dispute5= Unknown6= Voided trip
Fare_amount,float,The time-and-distance fare calculated by the meter.
Extra,float,"Miscellaneous extras and surcharges. Currently, this only includesthe $0.50 and $1 rush hour and overnight charges."
MTA_tax,float,$0.50 MTA tax that is automatically triggered based on the metered rate in use
Improvement_surcharge,float,$0.30 improvement surcharge assessed trips at the flag drop.The improvement surcharge began being levied in 2015
Tip_amount,float,Tip amount –This field is automatically populated for credit card tips. Cash tips are not included.
Tolls_amount,float,Total amount of all tolls paid in trip. 
Total_amount,float,The total amount charged to passengers. Does not include cash tips.
